PortID,PortCode,PortName
763,INPRD6,PREPL SEZ PERUNGUDI
764,INPRG1,Purangad
765,INPRK6,ICD POWARKHEDA
766,INPRT1,Paradeep
767,INPSH1,Palshet
768,INPSI6,SIPL/SEZ/PUNE
769,INPSN6,PERFECT SEZ NOIDA
770,INPSP6,NSPL SEZ HINJEWADI
771,INPTL6,Patli ICD
772,INPTN1,Portonovo
773,INPTPB,Petrapole LCS
774,INPUA6,AIGP SEZ WAGHOLI
775,INPUE6,EON KHARADI SEZ
776,INPUI6,KIPPLGDPLSEZ KHARADI
777,INPUL1,Pulicat
778,INPUM6,MIDC PUNE
779,INPUN6,"M/S KBTV PVT., PUNE"
780,INPUR1,Puri
781,INPUT4,Puttaparthi
782,INPVL6,Panvel ICD
783,INPVS6,SNPIP SEZ TAMBARAM
784,INPWL6,PALWAL ICD
785,INPYB4,Jeypore
786,INPYS6,SIPCOT SEZ ERODE
787,INQRP6,ADANI ICD KILARAIPUR
788,INQUI1,Quilon
789,INRAI6,Raipur
790,INRAJ4,Rajkot
791,INRAJ6,Rajkot
792,INRAM1,Rameshwaram
793,INRDP2,Radhikapur Railway S
794,INREA6,Rewari
795,INRED1,Redi
796,INREW4,Rewa
797,INRGBB,Old Raghna Bazar
798,INRGH4,Balurghat
799,INRGJ2,RAIGANJ LCS RLY
800,INRGT1,Ranghat Bay
801,INRGUB,Ryngku
802,INRJA4,Rajahmundry
803,INRJI4,Rajouri
804,INRJN6,LS PVT. LTD.
805,INRJP1,Rajpara
806,INRJR1,Rajpuri
807,INRKG1,Rajakkamangalam
808,INRMD4,Ramagundam
809,INRML6,CONCOR ICDNAYARAIPUR
810,INRNC5,RANCHI FPO
811,INRNG2,Ranaghat Railway Sta
812,INRNR1,Ranpar
813,INRPL6,Raddipalam
814,INRPR4,Raipur
815,INRPR6,Raipur
816,INRPU5,RAIPUR FPO
817,INRRI1,Raili
818,INRRK4,Rourkela
819,INRTC1,Ratnagiri
820,INRTC4,Ratnagiri
821,INRTM6,CONCOR ICD RATLAM
822,INRUP4,Rupsi
823,INRVD1,Revdanda
824,INRWR1,Rameshwaram
825,INRXLB,Raxaul
826,INSABB,Sabroom
827,INSAC6,Sachin (Surat)
828,INSAJ6,NAVKAR ICD UMBERGAON
829,INSAL1,Salaya
830,INSAS6,INFOSYS SEZ MOHALI
831,INSAU6,THAR DRY PORT
832,INSBC6,BIOCON SEZ BANGALORE
833,INSBH1,Sinbhour
834,INSBI6,ICD Sabarmati
835,INSBK6,KIADB/SEZ/BANGALORE
836,INSBL6,INFOSYS/SEZ/BANGLORE
837,INSBW6,WIPRO ELEC/SEZ/BLR
838,INSBZ1,SHELLA BAZAR
839,INSCH6,SAP-SEZ SURAT
840,INSGF6,GRFL ICD SAHNEWAL
841,INSHI1,Shirola
842,INSHL4,Shillong
843,INSHP1,Sinbhour Port
844,INSIK1,Sikka
845,INSJR6,Surajpur
846,INSKD6,ICD KALINGANAGAR
847,INSKPB,Sukhia Pokhari
848,INSLL6,Singanallur
849,INSLR2,Silcher R.M.S. Offic
850,INSLRB,Silcher Steamerghat
851,INSLT6,SALT LAKE (EPZ/SEZ)
852,INSLV4,Simla
853,INSMK6,KEONICS/SEZ/SHIMOGA
854,INSMPB,Srimantapur
855,INSMR1,Simor
856,INSNA6,ANSAL SEZ SONEPAT
857,INSNBB,Sonabarsa
858,INSNF6,"ICD, Hyderabad"
859,INSNG2,Singabad Railway Sta
860,INSNI6,"KANECH, ICD SAHNEWAL"
861,INSNLB,Sonauli
862,INSNN6,APIIC LTD.
863,INSNR6,ARI LTD.
864,INSNS6,NLE PVT. LTD.
865,INSPC6,CCLPIL SEZ VIZAG
866,INSPE6,ASDI SEZ NELLORE
867,INSRE6,Saharanpur
868,INSRK6,KSITILA/SEZ/PALI/ALZ
869,INSRV1,Surasani-Yanam
870,INSSE4,Sholapur
871,INSTFB,SIKTA LCS
872,INSTIB,Sitai
873,INSTM6,MIDC PHALTAN SEZ
874,INSTP1,Satpati
875,INSTRB,Sutarkandi
876,INSTT6,Dadri STTPL CFS
877,INSTU6,MIDC SEZ SATARA
878,INSTV1,Surat
879,INSTV4,Surat
880,INSTV6,Surat(EPZ/SEZ)
881,INSWD1,Shriwardhan
882,INSXE6,ELCOT AMMAPALAYAM
883,INSXR4,Srinagar
884,INSXR5,FPO SRINAGAR
885,INSXV4,Salem
886,INSXV6,Salem
887,INTAD1,Tadri
888,INTAS6,SRICITYPVTLTD-SEZ
889,INTBC6,CTS PVT. LTD.
890,INTBM6,PHPL SEZ KANCHEPURAM
891,INTBP6,"SPIPL SEZ, PERUGULTH"
892,INTBS6,HEXAWARE TECH. LTD.
893,INTBT6,TCS LTD.
894,INTCR6,"M/S TICS, ICD MATHIL"
895,INTDE6,Tudiyalur-Coimbatore
896,INTEI4,Tezu
897,INTEL1,Tellicherry
898,INTEN6,SIPCOT GANGAKONDAN
899,INTEZ4,Tezpur
900,INTGN6,KEIPL/ PUNE
901,INTHA6,Thar Dry Port Jodhpu
902,INTHL1,Thal
903,INTHO6,Tiruppur-Thottiplaya
904,INTIR4,Tirupati
905,INTIV1,Tiviri
906,INTJA1,Talaja
907,INTJPB,Tezpur Steamerghat
908,INTJV4,Thanjavur
909,INTKD2,Tuglakabad
910,INTKD6,Tuglakabad
911,INTKNB,Tikonia
912,INTLG6,Pune-Talegoan ICD
913,INTLT6,L&T SBL L&T CHENNAI
914,INTMI6,"M/S IFFCO KISAN, SEZ"
915,INTMP1,Trombay
916,INTMX6,"ICD, THIMMAPUR,"
917,INTNA1,Thana
918,INTNC6,CCCL SEZ TUTICORIN
919,INTND1,Tondi
920,INTNGB,Tungi
921,INTNI6,HIPL SEZ
922,INTNK1,Tankari
923,INTNS6,SSL SEZ TUTICORIN
924,INTPH1,Thopputhurai
925,INTPJ6,ECTN SEZ TRICHY
926,INTPN1,Talpona
927,INTRA1,Tranquebar
928,INTRL6,ICD Tiruvallur
929,INTRP1,Tarapur
930,INTRV4,Thiruvananthapuram (
931,INTRZ4,Tiruchirapalli
932,INTSI6,HVCPL SEZ KADAYAM
933,INTTP6,Dadri TTPL
934,INTTS1,T.T. SHED (KIDDERPOR
935,INTUI6,FCPL SEZ KESAVARAM
936,INTUN1,Tuna
937,INTUP6,Tirupur
938,INTUT1,Tuticorin
939,INTUT6,Tuticorin ICD
940,INTVC6,KINFRAA SEZ
941,INTVT6,ICD TONDIARPET CHENN
942,INTYR1,Tirukkadayyur
943,INUDI6,SYNEFRA-SEZ/UDUPI
944,INUDN6,GHB-SEZ SURAT
945,INUDR4,Udaipur
946,INUDR6,Udaipur
947,INUDZ6,Udaipur
948,INUKL6,ETLISL SEZ ERODE
949,INULPB,Ultapani
950,INULW1,Ulwa
951,INUMB1,Umbergoan
952,INUMR1,Umarsadi
953,INURF6,FAB CITY SPV-SEZ/SRI
954,INURG6,GMR HYDTABAD AVIATIO
955,INURI6,INDU TECHZONE PVT.
956,INURT6,TCS LTD. ADIBATLA
957,INUTN1,Uttan
958,INVAD1,Vadinar
959,INVAL6,Valvada ICD
960,INVAP1,Vapi
961,INVEN1,Vengurla
962,INVEP1,Veppalodai
963,INVGA4,Vijayawada
964,INVGA5,FPO VIJAYAWADA
965,INVGR6,BHOJVA ICD VIRAMGAM
966,INVKH6,HIRANANDANI BUIL.
967,INVKM1,Valinokkam
968,INVLD6,DISH/SEZ/KALYANGADH
969,INVLN6,NG REALTY-SEZ/TALUKA
970,INVLR6,SIPCOT LTD.
971,INVNG1,Vengurla
972,INVNS4,Varanasi
973,INVNS5,FPO VARANASI
974,INVNS6,Varanasi
975,INVPI6,Vapi
976,INVRD1,Varavda
977,INVRU1,Vadarevu
978,INVSA6,APIIC (HALL NO.3)
979,INVSI1,Vansi-Borsi
980,INVSK6,APIIC- (HALL NO. 2)
981,INVSP6,WIPRO SEZRESPUVANIPA
982,INVSV1,Varsova
983,INVTC6,CHEYYAR VELLORE
984,INVTZ1,Visakhapatnam
985,INVTZ4,Visakhapatnam
986,INVTZ6,Visakhapatnam SEZ
987,INVVA1,Veraval
988,INVYD1,Vijaydurg
989,INVZJ1,Vazhinjam
990,INVZM6,DLL SEZ
991,INVZR6,M/S DR. REDDY SEZ
992,INWAL6,Waluj (Aurangabad)
993,INWFD6,ICD Bangalore
994,INWFI6,INFO/SEZ/BANGALORE
995,INWFT6,ITPL SEZ II BENGALUR
996,INWGC4,Warrangal
997,INWRR6,WARDHA POWER CO LTD
998,INYMA6,MODERN ASSET SEZ II
999,INYNA6,MOSERN ASSET SEZ I
1000,INYNK6,KIP/SEZ/N BANGALORE
1001,INYNL6,L&T CEL SEZ II
1002,INYNM6,MILESTONE/SEZ/BLR
1003,INYNT6,L&T CEL SEZ I
1004,INZIP6,ZIPL-SEZ AHMEDABAD
